"register_type","fresh_id","pdf_page","part","chapter_num","chapter_title","section","exact_pdf_source_text","normalized_atomic_clause","strength_classification","category_bucket","semantic_review_status","semantic_review_reason","implementation_target","applies_to","verification_type"
"Governance Document Requirement","C1-1.1-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","It defines what the platform must do from a governance perspective.","It defines what the platform must do from a governance perspective.","Explicit Must","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Document Requirement","C1-1.1-003","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","Explicit Shall","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Document Requirement","C1-1.1-005","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","Explicit Shall","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Document Requirement","C1-1.2-001","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","When documents conflict, the higher-level document shall always prevail.","When documents conflict, the higher-level document shall always prevail.","Explicit Shall","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Document Requirement","C1-1.2-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","No subordinate document may override or contradict this Constitution.","No subordinate document may override or contradict this Constitution.","Explicit Must","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Document Requirement","C1-1.2-003","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","The official governance library shall maintain, at minimum:","The official governance library shall maintain, at minimum:","Explicit Shall","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Definition","C1-1.2-004","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● DX OSE Constitution","● DX OSE Constitution","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-005","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● DX OSE UX Constitution","● DX OSE UX Constitution","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-006","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● Business Decision Records (BDR)","● Business Decision Records (BDR)","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-007","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● Workflow Contracts","● Workflow Contracts","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-008","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● Access Control Catalog","● Access Control Catalog","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-009","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● Architecture Guide","● Architecture Guide","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-010","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● Implementation Guide","● Implementation Guide","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Document Requirement","C1-1.3-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.3","This section number is reserved and shall not be reassigned to other content without explicit governance decision.","This section number is reserved and shall not be reassigned to other content without explicit governance decision.","Explicit Shall","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Definition","C1-1.4-001","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.","This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.4-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","Unless explicitly stated otherwise:","Unless explicitly stated otherwise:","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.4-003","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","Platform-wide chapters apply to all DX OSE modules and shared user experiences.","Platform-wide chapters apply to all DX OSE modules and shared user experiences.","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.4-004","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","Document-specific chapters apply to operational documents and document entry workflows.","Document-specific chapters apply to operational documents and document entry workflows.","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.4-009","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","Integration implementation details Implementation detail belongs in Architecture & Implementation Guides.","Integration implementation details Implementation detail belongs in Architecture & Implementation Guides.","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.5-001","12","Part 0 — Authority","1","Authority & Hierarchy","1.5","Normative keywords shall be interpreted exactly as defined in this chapter.","Normative keywords shall be interpreted exactly as defined in this chapter.","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C2-2.2-004","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Draft Editable; no official operational or financial effect","Draft Editable; no official operational or financial effect","Governance Definition","Governance Definition","Governance Approved","Governance definition approved.","Governance Documentation","Operational Documents / Shared UX","Documentation"
"Governance Definition","C2-2.2-008","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Posted Official operational and financial effects applied","Posted Official operational and financial effects applied","Governance Definition","Governance Definition","Governance Approved","Governance definition approved.","Governance Documentation","Operational Documents / Shared UX","Documentation"
"Governance Definition","C3-3.4-004","16","Part I — Governance Constitution","3","Workflow & Actions","3.4","Next step Edit → Submit New document if operation repeats","Next step Edit → Submit New document if operation repeats","Governance Definition","Governance Definition","Governance Approved","Governance definition approved.","Governance Documentation","Workflow / Shared UX","Documentation"
"Governance Definition","C3-3.7-001","16","Part I — Governance Constitution","3","Workflow & Actions","3.7","Layer Determines Workflow Contracts & Who","Layer Determines Workflow Contracts & Who","Governance Definition","Governance Definition","Governance Approved","Governance definition approved.","Governance Documentation","Workflow / Shared UX","Documentation"
"Governance Definition","C3-3.7-004","16","Part I — Governance Constitution","3","Workflow & Actions","3.7","next step ACC This Constitution Meaning","next step ACC This Constitution Meaning","Governance Definition","Governance Definition","Governance Approved","Governance definition approved.","Governance Documentation","Workflow / Shared UX","Documentation"
"Governance Definition","C4-4.2-001","17","Part I — Governance Constitution","4","Operation Permissions","4.2","View","View","Governance Definition","Governance Definition","Governance Approved","Governance definition approved.","Governance Documentation","ACC / Backend Authorization","Documentation"
"Governance Definition","C4-4.2-002","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Create","Create","Governance Definition","Governance Definition","Governance Approved","Governance definition approved.","Governance Documentation","ACC / Backend Authorization","Documentation"
"Governance Definition","C4-4.2-003","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Edit","Edit","Governance Definition","Governance Definition","Governance Approved","Governance definition approved.","Governance Documentation","ACC / Backend Authorization","Documentation"
"Governance Definition","C4-4.2-004","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Delete","Delete","Governance Definition","Governance Definition","Governance Approved","Governance definition approved.","Governance Documentation","ACC / Backend Authorization","Documentation"
"Governance Definition","C4-4.2-005","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Submit","Submit","Governance Definition","Governance Definition","Governance Approved","Governance definition approved.","Governance Documentation","ACC / Backend Authorization","Documentation"
"Governance Definition","C4-4.2-006","17","Part I — Governance Constitution","4","Operation Permissions","4.2","Approve","Approve","Governance Definition","Governance Definition","Governance Approved","Governance definition approved.","Governance Documentation","ACC / Backend Authorization","Documentation"
