"fresh_id","previous_category","approved_category","reason","applicable_layer","reviewer","review_timestamp","decision_source"
"C1-1.1-001","Descriptive Context","Descriptive Context","Ch1 descriptive context.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.1-002","Governance Document Requirement","Governance Document Requirement","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.1-003","Governance Document Requirement","Governance Document Requirement","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.1-004","Descriptive Context","Descriptive Context","Ch1 descriptive context.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.1-005","Governance Document Requirement","Governance Document Requirement","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.2-001","Governance Document Requirement","Governance Document Requirement","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.2-002","Governance Document Requirement","Governance Document Requirement","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.2-003","Governance Document Requirement","Governance Document Requirement","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.2-004","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.2-005","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.2-006","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.2-007","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.2-008","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.2-009","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.2-010","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.3-001","Descriptive Context","Descriptive Context","Ch1 descriptive context.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.3-002","Governance Document Requirement","Governance Document Requirement","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.4-001","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.4-002","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.4-003","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.4-004","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.4-005","Out of Scope","Out of Scope","Governance approved: Out of Scope.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.4-006","Out of Scope","Out of Scope","Governance approved: Out of Scope.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.4-007","Out of Scope","Out of Scope","Governance approved: Out of Scope.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.4-008","Out of Scope","Out of Scope","Governance approved: Out of Scope.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.4-009","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.5-001","Governance Definition","Governance Definition","Ch1 governance definition.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.5-002","Constitution Authoring Guidance","Constitution Authoring Guidance","Governance approved: Constitution Authoring Guidance.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C1-1.5-003","Constitution Authoring Guidance","Constitution Authoring Guidance","Governance approved: Constitution Authoring Guidance.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.1-001","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.1-002","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.1-003","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.1-004","Optional Capability","Optional Capability","Optional capability approved.","Runtime Behavior","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.1-005","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-001","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-002","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-003","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-004","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-005","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-006","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-007","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-008","Governance Definition","Governance Definition","Governance definition approved.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-009","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-010","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-011","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-012","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-013","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.2-014","Excluded Pending Ratification","Excluded Pending Ratification","Governance approved: Excluded Pending Ratification.","Governance Documentation","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.3-001","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.3-002","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.3-003","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.4.1-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.4.1-002","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.4.2-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.4.2-002","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.4.3-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.4.3-002","Optional Capability","Optional Capability","Optional capability approved.","Runtime Behavior","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.4.4-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.4.4-002","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.4.4-003","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.4.5-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.4.5-002","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.5-001","Product Enforceable Requirement","Product Enforceable Requirement","Product enforceable requirement approved.","Multiple","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
"C2-2.6-001","Descriptive Context","Descriptive Context","Descriptive context approved.","N/A","DX OSE Governance Review (Gate A FINAL)","2026-06-27T15:50:18Z","Gate A FINAL adjudication"
