ID,Requirement,Type,Applicable modules,Code evidence,Runtime evidence,Automated test,Last executed result,Evidence conflict,Final status
"C01-1.1-001","The Constitution shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C01-1.1-002","The platform must fulfill governance obligations defined by this Constitution from a governance perspective.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C01-1.1-003","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C01-1.2-001","When documents conflict, the higher-level document shall always prevail.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C01-1.2-002","No subordinate document may override or contradict this Constitution.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C01-1.2-003","The official governance library shall maintain the DX OSE Constitution at minimum.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C01-1.2-004","The official governance library shall maintain the DX OSE UX Constitution at minimum.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C01-1.2-005","The official governance library shall maintain Business Decision Records (BDR) at minimum.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C01-1.2-006","The official governance library shall maintain Workflow Contracts at minimum.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
"C01-1.2-007","The official governance library shall maintain the Access Control Catalog (ACC) at minimum.","Documentation","Governance","Matrix code refs","Round3 harness executed","TEST_EXECUTION_RESULTS.json","2026-06-27","","Static Verified — appropriate for static requirement"
