"register_type","fresh_id","pdf_page","part","chapter_num","chapter_title","section","exact_pdf_source_text","normalized_atomic_clause","strength_classification","category_bucket","semantic_review_status","semantic_review_reason","implementation_target","applies_to","verification_type"
"Product Enforceable Requirement","C2-2.1-001","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","DX OSE shall provide one consistent document lifecycle experience across all operational modules.","DX OSE shall provide one consistent document lifecycle experience across all operational modules.","Explicit Shall","Product Enforceable Requirement","Governance Approved","Product enforceable requirement approved.","Multiple","Operational Documents / Shared UX","Code / Runtime / UI"
"Optional Capability","C2-2.1-004","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","Modules may implement different internal workflows, provided that the user-facing lifecycle remains consistent across the platform.","Modules may implement different internal workflows, provided that the user-facing lifecycle remains consistent across the platform.","Explicit May","Optional Capability","Governance Approved","Optional capability approved.","Runtime Behavior","Operational Documents / Shared UX","Runtime"
"Product Enforceable Requirement","C2-2.1-005","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.","Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.","Explicit Must","Product Enforceable Requirement","Governance Approved","Product enforceable requirement approved.","Multiple","Operational Documents / Shared UX","Code / Runtime / UI"
"Product Enforceable Requirement","C2-2.2-001","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform.","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform.","Explicit Shall","Product Enforceable Requirement","Governance Approved","Product enforceable requirement approved.","Multiple","Operational Documents / Shared UX","Code / Runtime / UI"
"Product Enforceable Requirement","C2-2.2-002","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","No module may redefine these meanings.","No module may redefine these meanings.","Explicit Must Not","Product Enforceable Requirement","Governance Approved","Product enforceable requirement approved.","Multiple","Operational Documents / Shared UX","Code / Runtime / UI"
"Product Enforceable Requirement","C2-2.2-003","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","No module may introduce additional user-facing lifecycle states unless they are first ratified in this Constitution.","No module may introduce additional user-facing lifecycle states unless they are first ratified in this Constitution.","Explicit Must Not","Product Enforceable Requirement","Governance Approved","Product enforceable requirement approved.","Multiple","Operational Documents / Shared UX","Code / Runtime / UI"
"Product Enforceable Requirement","C2-2.3-001","13","Part I — Governance Constitution","2","Document Lifecycle","2.3","Each module shall provide a consistent mapping between internal workflow states and standardized user-facing lifecycle states.","Each module shall provide a consistent mapping between internal workflow states and standardized user-facing lifecycle states.","Explicit Shall","Product Enforceable Requirement","Governance Approved","Product enforceable requirement approved.","Multiple","Operational Documents / Shared UX","Code / Runtime / UI"
"Product Enforceable Requirement","C2-2.3-002","13","Part I — Governance Constitution","2","Document Lifecycle","2.3","Internal workflow identifiers, status codes, enum names, workflow step names, and other implementation details must never be exposed to end users.","Internal workflow identifiers, status codes, enum names, workflow step names, and other implementation details must never be exposed to end users.","Explicit Must","Product Enforceable Requirement","Governance Approved","Product enforceable requirement approved.","Multiple","Operational Documents / Shared UX","Code / Runtime / UI"
"Product Enforceable Requirement","C2-2.3-003","13","Part I — Governance Constitution","2","Document Lifecycle","2.3","Identical business outcomes shall always resolve to the same standardized user-facing lifecycle state across the DX OSE platform.","Identical business outcomes shall always resolve to the same standardized user-facing lifecycle state across the DX OSE platform.","Explicit Shall","Product Enforceable Requirement","Governance Approved","Product enforceable requirement approved.","Multiple","Operational Documents / Shared UX","Code / Runtime / UI"
"Product Enforceable Requirement","C2-2.4.1-002","14","Part I — Governance Constitution","2","Document Lifecycle","2.4.1","No operational or financial effect shall be considered official before Posting unless this Constitution explicitly states otherwise.","No operational or financial effect shall be considered official before Posting unless this Constitution explicitly states otherwise.","Explicit Shall","Product Enforceable Requirement","Governance Approved","Product enforceable requirement approved.","Multiple","Operational Documents / Shared UX","Code / Runtime / UI"
