scenario_id,requirement_ids,description,status,evidence
RS-POST-001,"['C5-5.1-003', 'C13-13.4-001']",PATCH posted GRN must be rejected,Passed,"{'grnId': '72542334-42d3-4fd7-b3b7-4c4de04eb0c8', 'grnNumber': 'GRN-E2E-CONVERT-1776506844123', 'http': 423, 'body': {'success': False, 'message': 'GRN is POSTED and is fully read-only.'}}"
RS-WF-001,"['C3-3.3-002', 'C4-4.3-003']",Breakage create by dept manager,Failed,{'http': 403}
RS-GP-001,"['C3-3.1-001', 'C2-2.8-001']",Get Pass create,Passed,"{'http': 201, 'documentId': 'b97380fd-5323-44a5-8388-fcf209e46d20'}"
RS-GP-002,['C3-3.1-001'],Get Pass submit,Passed,"{'http': 200, 'documentId': 'b97380fd-5323-44a5-8388-fcf209e46d20'}"
RS-XT-001,['C23-23.6-002'],Cross-tenant getPass read must not 200,Failed,"{'http': 500, 'targetId': 'e6eb9ddf-bd9d-431e-9a6b-5d876e93e7f9', 'note': 'HTTP 500 tenant isolation defect'}"
RS-CONC-001,"['C8-8.1-001', 'C8-8.2-001']",Stale concurrencyVersion must reject,Passed,"{'http': 409, 'documentId': 'd184f983-2d78-428e-ab84-83b37491536e'}"
XT-A-LIST-items,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-LIST-items"", ""result"": ""PASS"", ""http"": 200}"
XT-A-READ-B-items,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-READ-B-items"", ""result"": ""PASS"", ""http"": 404, ""leak"": null}"
XT-A-WRONG-TENANT-items,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-WRONG-TENANT-items"", ""result"": ""PASS"", ""http"": 404}"
XT-B-READ-A-items,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-B-READ-A-items"", ""result"": ""PASS"", ""http"": 404, ""leak"": null}"
XT-A-LIST-breakage,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-LIST-breakage"", ""result"": ""PASS"", ""http"": 200}"
XT-A-READ-B-breakage,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-READ-B-breakage"", ""result"": ""PASS"", ""http"": 404, ""leak"": null}"
XT-A-WRONG-TENANT-breakage,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-WRONG-TENANT-breakage"", ""result"": ""PASS"", ""http"": 404}"
XT-A-MUT-B-breakage,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-MUT-B-breakage"", ""result"": ""PASS"", ""http"": 404, ""leak"": null}"
XT-B-READ-A-breakage,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-B-READ-A-breakage"", ""result"": ""PASS"", ""http"": 404, ""leak"": null}"
XT-A-LIST-getPass,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-LIST-getPass"", ""result"": ""PASS"", ""http"": 200}"
XT-A-READ-B-getPass,,CROSS_TENANT_HARNESS,FAIL,"{""id"": ""XT-A-READ-B-getPass"", ""result"": ""FAIL"", ""http"": 500, ""leak"": ""UNEXPECTED_500""}"
XT-A-WRONG-TENANT-getPass,,CROSS_TENANT_HARNESS,FAIL,"{""id"": ""XT-A-WRONG-TENANT-getPass"", ""result"": ""FAIL"", ""http"": 500}"
XT-A-MUT-B-getPass,,CROSS_TENANT_HARNESS,FAIL,"{""id"": ""XT-A-MUT-B-getPass"", ""result"": ""FAIL"", ""http"": 500, ""leak"": ""UNEXPECTED_500""}"
XT-B-READ-A-getPass,,CROSS_TENANT_HARNESS,FAIL,"{""id"": ""XT-B-READ-A-getPass"", ""result"": ""FAIL"", ""http"": 500, ""leak"": ""UNEXPECTED_500""}"
XT-A-LIST-grn,,CROSS_TENANT_HARNESS,PASS,"{""id"": ""XT-A-LIST-grn"", ""result"": ""PASS"", ""http"": 200}"
