"register_type","fresh_id","pdf_page","part","chapter_num","chapter_title","section","exact_pdf_source_text","normalized_atomic_clause","strength_classification","category_bucket","semantic_review_status","semantic_review_reason","implementation_target","applies_to","verification_type"
"UX / Presentation Requirement","C17-17.1-001","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.1","All modules and shared experiences: documents, master data, settings, reports, dialogs.","All modules and shared experiences: documents, master data, settings, reports, dialogs.","UX Requirement","UX / Presentation Requirement","Governance Approved","Auto category confirmed by governance review.","N/A","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-001","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Keyboard-first","Keyboard-first","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-002","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Enter → next field (not submit/post/delete)","Enter → next field (not submit/post/delete)","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-003","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Enter at row end → next row or add row","Enter at row end → next row or add row","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-004","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Shift+Enter → previous","Shift+Enter → previous","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-005","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Enter in textarea → new line","Enter in textarea → new line","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-006","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Esc closes lookup/calendar/small overlay","Esc closes lookup/calendar/small overlay","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-007","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Tab standard browser order","Tab standard browser order","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.3-001","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.3","Keyboard behavior consistent across all modules","Keyboard behavior consistent across all modules","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.3-002","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.3","Focus visually distinguishable","Focus visually distinguishable","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.3-003","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.3","Skip disabled and hidden controls","Skip disabled and hidden controls","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.3-004","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.3","Dialogs assign initial focus to primary interactive element","Dialogs assign initial focus to primary interactive element","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.1-001","33","Part V — System Interaction Standards","18","Validation","18.1","One error type → one display channel.","One error type → one display channel.","UX Requirement","UX / Presentation Requirement","Governance Approved","§18.1 Golden Rule — error channel mapping.","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.2-001","33","Part V — System Interaction Standards","18","Validation","18.2","Errors disappear when fixed","Errors disappear when fixed","UX Requirement","UX / Presentation Requirement","Governance Approved","§18.2 validation UX rule.","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.2-003","33","Part V — System Interaction Standards","18","Validation","18.2","Many errors: banner shows count; details at fields/rows","Many errors: banner shows count; details at fields/rows","UX Requirement","UX / Presentation Requirement","Governance Approved","§18.2 validation UX rule.","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C23-23.1-001","38","Part VI — Lookup & Search","23","Lookup Standard","23.1","One lookup behavior for items, parties, locations, and references.","One lookup behavior for items, parties, locations, and references.","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.2-001","38","Part VI — Lookup & Search","23","Lookup Standard","23.2","Receiving, stock-based, catalog, issue — same UX","Receiving, stock-based, catalog, issue — same UX","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup standard.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.3-001","38","Part VI — Lookup & Search","23","Lookup Standard","23.3","Code, name, barcode","Code, name, barcode","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.3-002","38","Part VI — Lookup & Search","23","Lookup Standard","23.3","ranking: exact code → exact barcode → prefix → contains","ranking: exact code → exact barcode → prefix → contains","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
