"fresh_id","pdf_page","part","chapter_num","chapter_title","section","exact_pdf_source_text","normalized_atomic_clause","strength_classification","category_bucket","applies_to","related_sections","verification_type","extraction_note"
"C1-1.1-001","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","This Constitution establishes the governing principles, policies, standards, and mandatory rules for the DX OSE Enterprise ERP Platform. It defines what the platform must do from a governance perspective. It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies. This Constitution is the Single Source of Truth (SSOT) for governance across the DX OSE ERP Platform. All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","This Constitution establishes the governing principles, policies, standards, and mandatory rules for the DX OSE Enterprise ERP Platform. It defines what the platform must do from a governance perspective. It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies. This Constitution is the Single Source of Truth (SSOT) for governance across the DX OSE ERP Platform. All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","Explicit Must","Enforceable Normative Requirements","Platform","","Code / Runtime / UI",""
"C1-1.2-001","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","When documents conflict, the higher-level document shall always prevail. No subordinate document may override or contradict this Constitution. Order Document Governs 1 DX OSE Constitution Principles, policies, standards, and mandatory rules — SSOT 2 DX OSE UX Constitution User experience, layout geometry, scroll ownership, visual rhythm 3 Business Decision Records Formal Product/Governance decisions that interpret or extend (BDR) this Constitution without amending it 4 Workflow Contracts Document cycles, internal states, transitions, and routing 5 Access Control Catalog (ACC) Who may execute each operation or transition 6 Architecture & How governance is implemented — non-normative for Implementation Guides governance","When documents conflict, the higher-level document shall always prevail. No subordinate document may override or contradict this Constitution. Order Document Governs 1 DX OSE Constitution Principles, policies, standards, and mandatory rules — SSOT 2 DX OSE UX Constitution User experience, layout geometry, scroll ownership, visual rhythm 3 Business Decision Records Formal Product/Governance decisions that interpret or extend (BDR) this Constitution without amending it 4 Workflow Contracts Document cycles, internal states, transitions, and routing 5 Access Control Catalog (ACC) Who may execute each operation or transition 6 Architecture & How governance is implemented — non-normative for Implementation Guides governance","Explicit Shall","Enforceable Normative Requirements","Platform","","Code / Runtime / UI",""
"C1-1.2-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","The official governance library shall maintain, at minimum:","The official governance library shall maintain, at minimum:","Explicit Shall","Enforceable Normative Requirements","Platform","","Code / Runtime / UI",""
"C1-1.2-003","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","DX OSE Constitution","DX OSE Constitution","Descriptive","Descriptive Governance Statements","Platform","","Documentation",""
"C1-1.2-004","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","DX OSE UX Constitution","DX OSE UX Constitution","Descriptive","Descriptive Governance Statements","Platform","","Documentation",""
"C1-1.2-005","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","Business Decision Records (BDR)","Business Decision Records (BDR)","Descriptive","Descriptive Governance Statements","Platform","","Documentation",""
"C1-1.2-006","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","Workflow Contracts","Workflow Contracts","Descriptive","Descriptive Governance Statements","Platform","","Documentation",""
"C1-1.2-007","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","Access Control Catalog","Access Control Catalog","Descriptive","Descriptive Governance Statements","Platform","","Documentation",""
"C1-1.2-008","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","Architecture Guide","Architecture Guide","Descriptive","Descriptive Governance Statements","Platform","","Documentation",""
"C1-1.2-009","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","Implementation Guide","Implementation Guide","Descriptive","Descriptive Governance Statements","Platform","","Documentation",""
"C1-1.3-001","11","Part 0 — Authority","1","Authority & Hierarchy","1.3","Section 1.3 Four Tiers has been removed in its entirety per Master Review Log ratification. This section number is reserved and shall not be reassigned to other content without explicit governance decision.","Section 1.3 Four Tiers has been removed in its entirety per Master Review Log ratification. This section number is reserved and shall not be reassigned to other content without explicit governance decision.","Explicit Must Not","Enforceable Normative Requirements","Platform","","Code / Runtime / UI",""
"C1-1.4-001","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.","This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.","Descriptive","Descriptive Governance Statements","Platform","","Documentation",""
"C1-1.4-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","Platform-wide chapters apply to all DX OSE modules and shared user experiences.","Platform-wide chapters apply to all DX OSE modules and shared user experiences.","Descriptive","Descriptive Governance Statements","Platform","","Documentation",""
"C1-1.4-003","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","Document-specific chapters apply to operational documents and document entry","Document-specific chapters apply to operational documents and document entry","Descriptive","Descriptive Governance Statements","Platform","","Documentation",""
"C1-1.4-004","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","workflows.","workflows.","Descriptive","Descriptive Governance Statements","Platform","","Documentation",""
"C1-1.4-005","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","Out of scope for this Constitution:","Out of scope for this Constitution:","Out of Scope","Out-of-Scope Clauses","Platform","","N/A",""
"C1-1.4-006","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","Technology stack","Technology stack","Out of Scope","Out-of-Scope Clauses","Platform","","N/A",""
"C1-1.4-007","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","Internal implementation details","Internal implementation details","Out of Scope","Out-of-Scope Clauses","Platform","","N/A",""
"C1-1.4-008","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","Database architecture","Database architecture","Out of Scope","Out-of-Scope Clauses","Platform","","N/A",""
"C1-1.4-009","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","Integration implementation details","Integration implementation details","Out of Scope","Out-of-Scope Clauses","Platform","","N/A",""
