"register_type","fresh_id","pdf_page","part","chapter_num","chapter_title","section","exact_pdf_source_text","normalized_atomic_clause","strength_classification","category_bucket","semantic_review_status","semantic_review_reason","implementation_target","applies_to","verification_type"
"Governance Definition","C1-1.2-004","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● DX OSE Constitution","● DX OSE Constitution","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-005","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● DX OSE UX Constitution","● DX OSE UX Constitution","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-006","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● Business Decision Records (BDR)","● Business Decision Records (BDR)","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-007","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● Workflow Contracts","● Workflow Contracts","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-008","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● Access Control Catalog","● Access Control Catalog","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-009","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● Architecture Guide","● Architecture Guide","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.2-010","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","● Implementation Guide","● Implementation Guide","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.4-001","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.","This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.4-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.4","Unless explicitly stated otherwise:","Unless explicitly stated otherwise:","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.4-003","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","Platform-wide chapters apply to all DX OSE modules and shared user experiences.","Platform-wide chapters apply to all DX OSE modules and shared user experiences.","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
"Governance Definition","C1-1.4-004","12","Part 0 — Authority","1","Authority & Hierarchy","1.4","Document-specific chapters apply to operational documents and document entry workflows.","Document-specific chapters apply to operational documents and document entry workflows.","Governance Definition","Governance Definition","Governance Approved","Ch1 governance definition.","Governance Documentation","Platform","Documentation"
