"fresh_id","pdf_page","pdf_page_start","pdf_page_end","part","chapter_num","chapter_title","section","source_span_id","exact_pdf_source_text","source_context_text","normalized_atomic_clause","strength_classification","category_bucket","atomicity_status","atomicity_justification","semantic_review_status","semantic_review_reason","semantic_reviewer","product_gap_applicability","applies_to","related_sections","verification_type","extraction_note"
"C1-1.1-001","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","SP-C1-1.1-e901ee51","This Constitution establishes the governing principles, policies, standards, and mandatory rules for the DX OSE Enterprise ERP Platform.","","This Constitution establishes the governing principles, policies, standards, and mandatory rules for the DX OSE Enterprise ERP Platform.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.1-002","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","SP-C1-1.1-59fbc329","It defines what the platform must do from a governance perspective.","","It defines what the platform must do from a governance perspective.","Explicit Must","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit must modal.","gate-a.2-semantic-engine","Yes","Platform","","Code / Runtime / UI",""
"C1-1.1-003","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","SP-C1-1.1-145f2341","It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","","It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Platform","","Code / Runtime / UI",""
"C1-1.1-004","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","SP-C1-1.1-76481ec9","This Constitution is the Single Source of Truth (SSOT) for governance across the DX OSE ERP Platform.","","This Constitution is the Single Source of Truth (SSOT) for governance across the DX OSE ERP Platform.","Descriptive","Descriptive Context","atomic","","Manual Reviewed — Confirmed","Descriptive context — no product modal operator.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.1-005","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","SP-C1-1.1-b3d8aae9","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Platform","","Code / Runtime / UI",""
"C1-1.2-001","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-c6f717e2","When documents conflict, the higher-level document shall always prevail.","","When documents conflict, the higher-level document shall always prevail.","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Platform","","Code / Runtime / UI",""
"C1-1.2-002","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-fde02db8","No subordinate document may override or contradict this Constitution.","","No subordinate document may override or contradict this Constitution.","Explicit Must Not","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Prohibition: No ... may ...","gate-a.2-semantic-engine","Yes","Platform","","Code / Runtime / UI",""
"C1-1.2-003","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-74e0a241","The official governance library shall maintain, at minimum:","","The official governance library shall maintain, at minimum:","Explicit Shall","Product Enforceable Requirement","atomic","","Manual Reviewed — Confirmed","Explicit shall modal.","gate-a.2-semantic-engine","Yes","Platform","","Code / Runtime / UI",""
"C1-1.2-004","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-bba2d65c","● DX OSE Constitution","","● DX OSE Constitution","Governance Definition","Governance Definition","atomic","","Manual Reviewed — Confirmed","§1.2 governance library catalog entry.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
"C1-1.2-005","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-a9fe56ca","● DX OSE UX Constitution","","● DX OSE UX Constitution","Governance Definition","Governance Definition","atomic","","Manual Reviewed — Confirmed","§1.2 governance library catalog entry.","gate-a.2-semantic-engine","No","Platform","","Documentation",""
