"register_type","fresh_id","pdf_page","part","chapter_num","chapter_title","section","exact_pdf_source_text","normalized_atomic_clause","strength_classification","category_bucket","semantic_review_status","semantic_review_reason","implementation_target","applies_to","verification_type"
"Governance Document Requirement","C1-1.1-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","It defines what the platform must do from a governance perspective.","It defines what the platform must do from a governance perspective.","Explicit Must","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Document Requirement","C1-1.1-003","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","Explicit Shall","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Document Requirement","C1-1.1-005","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","Explicit Shall","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Document Requirement","C1-1.2-001","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","When documents conflict, the higher-level document shall always prevail.","When documents conflict, the higher-level document shall always prevail.","Explicit Shall","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Document Requirement","C1-1.2-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","No subordinate document may override or contradict this Constitution.","No subordinate document may override or contradict this Constitution.","Explicit Must","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Document Requirement","C1-1.2-003","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","The official governance library shall maintain, at minimum:","The official governance library shall maintain, at minimum:","Explicit Shall","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Document Requirement","C1-1.3-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.3","This section number is reserved and shall not be reassigned to other content without explicit governance decision.","This section number is reserved and shall not be reassigned to other content without explicit governance decision.","Explicit Shall","Governance Document Requirement","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","Governance Documentation","Platform","Governance documentation"
"Governance Process Requirement","C29-29.1-001","44","Part IX — Conformance","29","Constitution Compliance & Ratification","29.1","New and revised capabilities must declare applicable chapters and demonstrate compliance before release.","New and revised capabilities must declare applicable chapters and demonstrate compliance before release.","Governance Process Requirement","Governance Process Requirement","Governance Approved","§29 compliance process.","Governance Process","Governance / QA","Governance QA"
"Governance Process Requirement","C29-29.3-001","44","Part IX — Conformance","29","Constitution Compliance & Ratification","29.3","A screen/capability is compliant when all mandatory rules in applicable chapters are satisfied, including responsive test matrix where applicable.","A screen/capability is compliant when all mandatory rules in applicable chapters are satisfied, including responsive test matrix where applicable.","Governance Process Requirement","Governance Process Requirement","Governance Approved","§29 compliance process.","Governance Process","Governance / QA","Governance QA"
"Governance Process Requirement","C29-29.5-001","44","Part IX — Conformance","29","Constitution Compliance & Ratification","29.5","New operational modules must undergo constitutional review before production approval.","New operational modules must undergo constitutional review before production approval.","Governance Process Requirement","Governance Process Requirement","Governance Approved","§29 compliance process.","Governance Process","Governance / QA","Governance QA"
"Governance Process Requirement","C29-29.6-001","44","Part IX — Conformance","29","Constitution Compliance & Ratification","29.6","QA validates against this Constitution and UX Constitution.","QA validates against this Constitution and UX Constitution.","Governance Process Requirement","Governance Process Requirement","Governance Approved","§29 compliance process.","Governance Process","Governance / QA","Governance QA"
"Governance Process Requirement","C29-29.6-002","44","Part IX — Conformance","29","Constitution Compliance & Ratification","29.6","Methods — Architecture Guide.","Methods — Architecture Guide.","Governance Process Requirement","Governance Process Requirement","Governance Approved","§29 compliance process.","Governance Process","Governance / QA","Governance QA"
"Governance Process Requirement","C29-29.7-001","44","Part IX — Conformance","29","Constitution Compliance & Ratification","29.7","Non-compliance tracked","Non-compliance tracked","Governance Process Requirement","Governance Process Requirement","Governance Approved","§29 compliance process.","Governance Process","Governance / QA","Governance QA"
"Governance Process Requirement","C29-29.7-002","44","Part IX — Conformance","29","Constitution Compliance & Ratification","29.7","backlog does not override Constitution.","backlog does not override Constitution.","Governance Process Requirement","Governance Process Requirement","Governance Approved","§29 compliance process.","Governance Process","Governance / QA","Governance QA"
"Governance Process Requirement","C29-29.8-001","44","Part IX — Conformance","29","Constitution Compliance & Ratification","29.8","This Constitution v2.0 Final is ratified upon approval by Product & Governance and Enterprise Architecture.","This Constitution v2.0 Final is ratified upon approval by Product & Governance and Enterprise Architecture.","Governance Process Requirement","Governance Process Requirement","Governance Approved","§29 compliance process.","Governance Process","Governance / QA","Governance QA"
"Governance Process Requirement","C29-29.8-002","44","Part IX — Conformance","29","Constitution Compliance & Ratification","29.8","Supersedes: DX OSE Document Constitution v1.0.","Supersedes: DX OSE Document Constitution v1.0.","Governance Process Requirement","Governance Process Requirement","Governance Approved","§29 compliance process.","Governance Process","Governance / QA","Governance QA"
"Governance Process Requirement","C29-29.8-003","44","Part IX — Conformance","29","Constitution Compliance & Ratification","29.8","Subordinate: Architecture & Implementation Guides, BDR.","Subordinate: Architecture & Implementation Guides, BDR.","Governance Process Requirement","Governance Process Requirement","Governance Approved","§29 compliance process.","Governance Process","Governance / QA","Governance QA"
"Product Enforceable Requirement","C6-6.15-001","19","Part I — Governance Constitution","6","Period Management","6.15","ACC is the Single Source of Truth for all Period Close and Reopen authorities.","ACC is the Single Source of Truth for all Period Close and Reopen authorities.","Explicit Shall","Governance Document Requirement","Constitutionally Approved","CONSTITUTIONALLY APPROVED — IMPLEMENTATION PENDING — NOT YET VERIFIED","Period Close / ACC","Period Close","Code / Runtime"
"Product Enforceable Requirement","C6-6.15-002","19","Part I — Governance Constitution","6","Period Management","6.15","Period Close permissions shall be expressed as independent ACC permission codes including PERIOD_CLOSE_EXECUTE, PERIOD_REOPEN_EXECUTE, PERIOD_RECLOSE_EXECUTE, PERIOD_CLOSE_RESOLUTION, PERIOD_CLOSE_DOCUMENT_POST, PERIOD_CLOSE_DOCUMENT_DELETE, PERIOD_CLOSE_GET_PASS_RESOLVE, PERIOD_CLOSE_GET_PASS_CARRY_FORWARD, and PERIOD_AUTO_CLOSE_MANAGE.","Period Close permissions shall be expressed as independent ACC permission codes including PERIOD_CLOSE_EXECUTE, PERIOD_REOPEN_EXECUTE, PERIOD_RECLOSE_EXECUTE, PERIOD_CLOSE_RESOLUTION, PERIOD_CLOSE_DOCUMENT_POST, PERIOD_CLOSE_DOCUMENT_DELETE, PERIOD_CLOSE_GET_PASS_RESOLVE, PERIOD_CLOSE_GET_PASS_CARRY_FORWARD, and PERIOD_AUTO_CLOSE_MANAGE.","Explicit Shall","Product Enforceable Requirement","Constitutionally Approved","CONSTITUTIONALLY APPROVED — IMPLEMENTATION PENDING — NOT YET VERIFIED","Period Close / ACC","Period Close","Code / Runtime"
"Product Enforceable Requirement","C6-6.15-003","19","Part I — Governance Constitution","6","Period Management","6.15","Backend enforcement shall verify ACC permission codes. Hardcoding period authority to a specific role name is prohibited.","Backend enforcement shall verify ACC permission codes. Hardcoding period authority to a specific role name is prohibited.","Explicit Shall","Product Enforceable Requirement","Constitutionally Approved","CONSTITUTIONALLY APPROVED — IMPLEMENTATION PENDING — NOT YET VERIFIED","Period Close / ACC","Period Close","Code / Runtime"
"Product Enforceable Requirement","C6-6.15-004","19","Part I — Governance Constitution","6","Period Management","6.15","Default seed configuration may grant the above permissions to Finance Manager. Default grant shall not confer authority by role name at runtime.","Default seed configuration may grant the above permissions to Finance Manager. Default grant shall not confer authority by role name at runtime.","Explicit Shall","Product Enforceable Requirement","Constitutionally Approved","CONSTITUTIONALLY APPROVED — IMPLEMENTATION PENDING — NOT YET VERIFIED","Period Close / ACC","Period Close","Code / Runtime"
"Product Enforceable Requirement","C6-6.15-005","19","Part I — Governance Constitution","6","Period Management","6.15","ORG_MANAGER and other roles shall not receive period close permissions by default. Future grants or revocations shall occur through ACC only without code changes.","ORG_MANAGER and other roles shall not receive period close permissions by default. Future grants or revocations shall occur through ACC only without code changes.","Explicit Shall","Product Enforceable Requirement","Constitutionally Approved","CONSTITUTIONALLY APPROVED — IMPLEMENTATION PENDING — NOT YET VERIFIED","Period Close / ACC","Period Close","Code / Runtime"
