"register_type","fresh_id","pdf_page","part","chapter_num","chapter_title","section","exact_pdf_source_text","normalized_atomic_clause","strength_classification","category_bucket","semantic_review_status","semantic_review_reason","implementation_target","applies_to","verification_type"
"UX / Presentation Requirement","C12-12.2-002","27","Part IV — Document Composition","12","Document Header","12.2","Optional fields omitted when not applicable","Optional fields omitted when not applicable","Descriptive","UX / Presentation Requirement","Governance Corrected","Optional fields presentation rule.","UI / UX","Document Header / All Documents","Documentation"
"UX / Presentation Requirement","C16-16.3-002","31","Part IV — Document Composition","16","Item Images","16.3","Thumbnails in operational screens where valuable","Thumbnails in operational screens where valuable","Descriptive","UX / Presentation Requirement","Governance Corrected","Thumbnails in operational screens.","UI / UX","Item Master / Shared UX","Documentation"
"UX / Presentation Requirement","C16-16.3-003","31","Part IV — Document Composition","16","Item Images","16.3","Standardized placeholder when no image","Standardized placeholder when no image","Descriptive","UX / Presentation Requirement","Governance Corrected","Standardized placeholder presentation.","UI / UX","Item Master / Shared UX","Documentation"
"UX / Presentation Requirement","C16-16.3-006","31","Part IV — Document Composition","16","Item Images","16.3","Thumbnails in grids","Thumbnails in grids","Descriptive","UX / Presentation Requirement","Governance Corrected","Grid thumbnail presentation.","UI / UX","Item Master / Shared UX","Documentation"
"UX / Presentation Requirement","C16-16.3-007","31","Part IV — Document Composition","16","Item Images","16.3","not full resolution","not full resolution","Descriptive","UX / Presentation Requirement","Governance Corrected","Thumbnail resolution presentation rule.","UI / UX","Item Master / Shared UX","Documentation"
"UX / Presentation Requirement","C17-17.1-001","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.1","All modules and shared experiences: documents, master data, settings, reports, dialogs.","All modules and shared experiences: documents, master data, settings, reports, dialogs.","UX Requirement","UX / Presentation Requirement","Governance Approved","Auto category confirmed by governance review.","N/A","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-001","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Keyboard-first","Keyboard-first","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-002","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Enter → next field (not submit/post/delete)","Enter → next field (not submit/post/delete)","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-003","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Enter at row end → next row or add row","Enter at row end → next row or add row","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-004","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Shift+Enter → previous","Shift+Enter → previous","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-005","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Enter in textarea → new line","Enter in textarea → new line","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-006","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Esc closes lookup/calendar/small overlay","Esc closes lookup/calendar/small overlay","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.2-007","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.2","Tab standard browser order","Tab standard browser order","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.3-001","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.3","Keyboard behavior consistent across all modules","Keyboard behavior consistent across all modules","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.3-002","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.3","Focus visually distinguishable","Focus visually distinguishable","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.3-003","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.3","Skip disabled and hidden controls","Skip disabled and hidden controls","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C17-17.3-004","32","Part V — System Interaction Standards","17","Keyboard Navigation","17.3","Dialogs assign initial focus to primary interactive element","Dialogs assign initial focus to primary interactive element","UX Requirement","UX / Presentation Requirement","Governance Approved","§17 keyboard navigation UX requirement.","UI / UX","Keyboard Navigation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.1-001","33","Part V — System Interaction Standards","18","Validation","18.1","One error type → one display channel.","One error type → one display channel.","UX Requirement","UX / Presentation Requirement","Governance Approved","§18.1 Golden Rule — error channel mapping.","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.1-002","33","Part V — System Interaction Standards","18","Validation","18.1","Field Inline","Field validation maps to Inline display channel.","UX Requirement","UX / Presentation Requirement","Governance Corrected","Block 4 — §18.1 table mapping (Field validation → Inline).","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.1-003","33","Part V — System Interaction Standards","18","Validation","18.1","Row On row","Row validation maps to On row display channel.","UX Requirement","UX / Presentation Requirement","Governance Corrected","Block 4 — §18.1 table mapping (Row validation → On row).","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.1-004","33","Part V — System Interaction Standards","18","Validation","18.1","Document Summary banner","Document validation maps to Summary banner display channel.","UX Requirement","UX / Presentation Requirement","Governance Corrected","Block 4 — §18.1 table mapping (Document validation → Summary banner).","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.1-005","33","Part V — System Interaction Standards","18","Validation","18.1","Confirmation Dialog — not validation","Confirmation maps to Dialog and is not validation.","UX Requirement","UX / Presentation Requirement","Governance Corrected","Block 4 — §18.1 table mapping (Confirmation → Dialog and is not validation).","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.1-006","33","Part V — System Interaction Standards","18","Validation","18.1","Success Chapter 20","Success feedback governed by Chapter 20.","UX Requirement","UX / Presentation Requirement","Governance Corrected","Block 4 — §18.1 table mapping (Success → governed by Chapter 20).","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.1-007","33","Part V — System Interaction Standards","18","Validation","18.1","System failure Chapter 19","System failure governed by Chapter 19.","UX Requirement","UX / Presentation Requirement","Governance Corrected","Block 4 — §18.1 table mapping (System failure → governed by Chapter 19).","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.2-001","33","Part V — System Interaction Standards","18","Validation","18.2","Errors disappear when fixed","Errors disappear when fixed","UX Requirement","UX / Presentation Requirement","Governance Approved","§18.2 validation UX rule.","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.2-003","33","Part V — System Interaction Standards","18","Validation","18.2","Many errors: banner shows count","Many errors: banner shows count","UX Requirement","UX / Presentation Requirement","Governance Corrected","Ask review — §18.2 validation rule split.","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C18-18.2-003b","33","Part V — System Interaction Standards","18","Validation","18.2","details at fields/rows","details at fields/rows","UX Requirement","UX / Presentation Requirement","Governance Corrected","Ask review — §18.2 validation rule split.","UI / UX","Validation / Shared UX","UI / UX"
"UX / Presentation Requirement","C19-19.7-001","34","Part V — System Interaction Standards","19","Error Handling","19.7","First error focusable and announced to assistive technology.","First error focusable and announced to assistive technology.","Descriptive","UX / Presentation Requirement","Governance Corrected","Error focus and assistive technology.","UI / UX","Error Handling / Shared UX","Documentation"
"UX / Presentation Requirement","C23-23.1-001","38","Part VI — Lookup & Search","23","Lookup Standard","23.1","One lookup behavior for items, parties, locations, and references.","One lookup behavior for items, parties, locations, and references.","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.2-001","38","Part VI — Lookup & Search","23","Lookup Standard","23.2","Receiving, stock-based, catalog, issue — same UX","Receiving, stock-based, catalog, issue — same UX","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup standard.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.3-001","38","Part VI — Lookup & Search","23","Lookup Standard","23.3","Code, name, barcode","Code, name, barcode","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.3-002","38","Part VI — Lookup & Search","23","Lookup Standard","23.3","ranking: exact code → exact barcode → prefix → contains","ranking: exact code → exact barcode → prefix → contains","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.3-003","38","Part VI — Lookup & Search","23","Lookup Standard","23.3","debounce before search","debounce before search","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.3-004","38","Part VI — Lookup & Search","23","Lookup Standard","23.3","normalization (case/space insensitive).","normalization (case/space insensitive).","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.4-001","38","Part VI — Lookup & Search","23","Lookup Standard","23.4","Keyboard ↑↓ Enter Esc Tab","Keyboard ↑↓ Enter Esc Tab","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.4-002","38","Part VI — Lookup & Search","23","Lookup Standard","23.4","close on select, outside click, field exit","close on select, outside click, field exit","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.4-003","38","Part VI — Lookup & Search","23","Lookup Standard","23.4","one lookup open","one lookup open","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.4-004","38","Part VI — Lookup & Search","23","Lookup Standard","23.4","focus to quantity after item pick in line entry.","focus to quantity after item pick in line entry.","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup governance rule.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
"UX / Presentation Requirement","C23-23.5-001","38","Part VI — Lookup & Search","23","Lookup Standard","23.5","Loading, no results, error+retry — unified messaging","Loading, no results, error+retry — unified messaging","UX Requirement","UX / Presentation Requirement","Governance Approved","§23 lookup standard.","UI / UX","Lookup Standard / Shared UX","UI / Runtime"
