Rule_ID,Topic,FINANCE_MANAGER,ORG_MANAGER,SUPER_ADMIN,ADMIN_Legacy,Notes
R01,Primary purpose,Hotel operational owner,Organization multi-property admin,Platform technical only,Deprecated hidden support,
R02,Permission source,JWT from role_permissions matrix,All permissions in DB automatically,JWT admin-mirror fallback,Frozen legacy permissions until migrated,
R03,Frontend hasPermission,Checks JWT permissions only,Always true bypass,Super portal only,Legacy sessions only,
R04,Assignable in User Settings UI,Yes,Yes,No,No hidden,
R05,Manage hotel users within tenant,Yes P1,Yes across properties,No,No,
R06,Manage org subscription branches suspend,No,Yes,Yes,No,
R07,OB lock enable finalize,No,Yes,Yes,No P2,
R08,All operational workflows on active tenant,Yes,Yes when switched to property,No,Legacy only until migrated,
R09,GRN post and finance posting,Yes,Yes on property,No,Remove from TARGET flows,
R10,Transfer approve and post,Yes,Yes,No,No ADMIN in chain,
R11,Inventory count manage and approve,Yes,Yes,No,Add FINANCE to manage routes,
R12,Breakage Lost tenant-wide visibility,Yes,Yes,No,Dept scoped by creator,
R13,Get Pass operational approvals,Yes,Yes on property,No,Replace ADMIN UI checks,
R14,Reports ledger export,Yes,Yes,No,
R15,Tenant RBAC diagnostics,Yes,Yes on property,No,New TENANT_OPS_DIAGNOSE,
R16,Required approver in workflow steps,No,No,No,Must not appear in chains TARGET,
R17,canActAsAdmin route bypass,No,Yes temporary,No,Remove ADMIN from route role lists,
R18,Data scope default,Tenant-wide all locations,Tenant-wide on active property,N/A,Limited legacy,
R19,SETTINGS_MANAGE org-wide,No,Yes,Yes,No,
R20,Appear in role dropdown,Yes,Yes,No,No,
