"register_type","fresh_id","pdf_page","part","chapter_num","chapter_title","section","exact_pdf_source_text","normalized_atomic_clause","strength_classification","category_bucket","semantic_review_status","semantic_review_reason","product_gap_applicability","applies_to","related_sections","verification_type","extraction_note"
"Product Enforceable Requirement","C1-1.1-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","It defines what the platform must do from a governance perspective.","It defines what the platform must do from a governance perspective.","Explicit Must","Product Enforceable Requirement","Manual Reviewed — Confirmed","Explicit must modal.","Yes","Platform","","Code / Runtime / UI",""
"Product Enforceable Requirement","C1-1.1-003","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","Explicit Shall","Product Enforceable Requirement","Manual Reviewed — Confirmed","Explicit shall modal.","Yes","Platform","","Code / Runtime / UI",""
"Product Enforceable Requirement","C1-1.1-005","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","Explicit Shall","Product Enforceable Requirement","Manual Reviewed — Confirmed","Explicit shall modal.","Yes","Platform","","Code / Runtime / UI",""
"Product Enforceable Requirement","C1-1.2-001","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","When documents conflict, the higher-level document shall always prevail.","When documents conflict, the higher-level document shall always prevail.","Explicit Shall","Product Enforceable Requirement","Manual Reviewed — Confirmed","Explicit shall modal.","Yes","Platform","","Code / Runtime / UI",""
"Product Enforceable Requirement","C1-1.2-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","No subordinate document may override or contradict this Constitution.","No subordinate document may override or contradict this Constitution.","Explicit Must Not","Product Enforceable Requirement","Manual Reviewed — Confirmed","Prohibition: No ... may ...","Yes","Platform","","Code / Runtime / UI",""
"Product Enforceable Requirement","C1-1.2-003","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","The official governance library shall maintain, at minimum:","The official governance library shall maintain, at minimum:","Explicit Shall","Product Enforceable Requirement","Manual Reviewed — Confirmed","Explicit shall modal.","Yes","Platform","","Code / Runtime / UI",""
"Product Enforceable Requirement","C1-1.3-002","11","Part 0 — Authority","1","Authority & Hierarchy","1.3","This section number is reserved and shall not be reassigned to other content without explicit governance decision.","This section number is reserved and shall not be reassigned to other content without explicit governance decision.","Explicit Must Not","Product Enforceable Requirement","Manual Reviewed — Confirmed","Explicit must/shall not modal.","Yes","Platform","","Code / Runtime / UI",""
"Product Enforceable Requirement","C1-1.5-001","12","Part 0 — Authority","1","Authority & Hierarchy","1.5","Normative keywords shall be interpreted exactly as defined in this chapter.","Normative keywords shall be interpreted exactly as defined in this chapter.","Explicit Shall","Product Enforceable Requirement","Manual Reviewed — Confirmed","Explicit shall modal.","Yes","Platform","","Code / Runtime / UI",""
"Product Enforceable Requirement","C2-2.1-001","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","DX OSE shall provide one consistent document lifecycle experience across all operational modules.","DX OSE shall provide one consistent document lifecycle experience across all operational modules.","Explicit Shall","Product Enforceable Requirement","Manual Reviewed — Confirmed","Explicit shall modal.","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"Product Enforceable Requirement","C2-2.1-005","13","Part I — Governance Constitution","2","Document Lifecycle","2.1","Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.","Internal workflow implementation, workflow step names, and internal status codes must never be exposed to end users.","Explicit Must","Product Enforceable Requirement","Manual Reviewed — Confirmed","Explicit must modal.","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"Product Enforceable Requirement","C2-2.2-001","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform.","Each user-facing lifecycle state shall represent one consistent business meaning across the entire DX OSE ERP Platform.","Explicit Shall","Product Enforceable Requirement","Manual Reviewed — Confirmed","Explicit shall modal.","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
"Product Enforceable Requirement","C2-2.2-002","13","Part I — Governance Constitution","2","Document Lifecycle","2.2","No module may redefine these meanings.","No module may redefine these meanings.","Explicit Must Not","Product Enforceable Requirement","Manual Reviewed — Confirmed","Prohibition: No ... may ...","Yes","Operational Documents / Shared UX","","Code / Runtime / UI",""
