fresh_id,chapter,section,requirement_text,category,implementation_target,verification_type,status,severity,frontend_evidence,backend_evidence,database_evidence,runtime_evidence,governance_evidence,tenant_scope_tested,limitations,finding_id,recommended_next_action
C1-1.1-001,1,1.1,"This Constitution establishes the governing principles, policies, standards, and mandatory rules for the DX OSE Enterprise ERP Platform.",Descriptive Context,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C1-1.1-002,1,1.1,It defines what the platform must do from a governance perspective.,Governance Document Requirement,Governance Documentation,Governance documentation,PASS,Info,,,,,docs/governance/ library present (594 files),,,,
C1-1.1-003,1,1.1,"It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.",Governance Document Requirement,Governance Documentation,Governance documentation,PASS,Info,,,,,docs/governance/ library present (594 files),,,,
C1-1.1-004,1,1.1,This Constitution is the Single Source of Truth (SSOT) for governance across the DX OSE ERP Platform.,Descriptive Context,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C1-1.1-005,1,1.1,"All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.",Governance Document Requirement,Governance Documentation,Governance documentation,PASS,Info,,,,,docs/governance/ library present (594 files),,,,
C1-1.2-001,1,1.2,"When documents conflict, the higher-level document shall always prevail.",Governance Document Requirement,Governance Documentation,Governance documentation,PASS,Info,,,,,docs/governance/ library present (594 files),,,,
C1-1.2-002,1,1.2,No subordinate document may override or contradict this Constitution.,Governance Document Requirement,Governance Documentation,Governance documentation,PASS,Info,,,,,docs/governance/ library present (594 files),,,,
C1-1.2-003,1,1.2,"The official governance library shall maintain, at minimum:",Governance Document Requirement,Governance Documentation,Governance documentation,PASS,Info,,,,,docs/governance/ library present (594 files),,,,
C1-1.2-004,1,1.2,● DX OSE Constitution,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.2-005,1,1.2,● DX OSE UX Constitution,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.2-006,1,1.2,● Business Decision Records (BDR),Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.2-007,1,1.2,● Workflow Contracts,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.2-008,1,1.2,● Access Control Catalog,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.2-009,1,1.2,● Architecture Guide,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.2-010,1,1.2,● Implementation Guide,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.3-001,1,1.3,Section 1.3 Four Tiers has been removed in its entirety per Master Review Log ratification.,Descriptive Context,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C1-1.3-002,1,1.3,This section number is reserved and shall not be reassigned to other content without explicit governance decision.,Governance Document Requirement,Governance Documentation,Governance documentation,PASS,Info,,,,,docs/governance/ library present (594 files),,,,
C1-1.4-001,1,1.4,This Constitution applies to all current and future operational modules of the DX OSE ERP Platform.,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.4-002,1,1.4,Unless explicitly stated otherwise:,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.4-003,1,1.4,Platform-wide chapters apply to all DX OSE modules and shared user experiences.,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.4-004,1,1.4,Document-specific chapters apply to operational documents and document entry workflows.,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.4-005,1,1.4,Out of scope for this Constitution:,Out of Scope,N/A,N/A,NOT APPLICABLE,Info,,,,,Register category_bucket=Out of Scope verified unchanged,,Constitution marks out of scope for product layer,,
C1-1.4-006,1,1.4,Technology stack,Out of Scope,N/A,N/A,NOT APPLICABLE,Info,,,,,Register category_bucket=Out of Scope verified unchanged,,Constitution marks out of scope for product layer,,
C1-1.4-007,1,1.4,Internal implementation details,Out of Scope,N/A,N/A,NOT APPLICABLE,Info,,,,,Register category_bucket=Out of Scope verified unchanged,,Constitution marks out of scope for product layer,,
C1-1.4-008,1,1.4,Database architecture,Out of Scope,N/A,N/A,NOT APPLICABLE,Info,,,,,Register category_bucket=Out of Scope verified unchanged,,Constitution marks out of scope for product layer,,
C1-1.4-009,1,1.4,Integration implementation details Implementation detail belongs in Architecture & Implementation Guides.,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.5-001,1,1.5,Normative keywords shall be interpreted exactly as defined in this chapter.,Governance Definition,Governance Documentation,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Governance Definition verified unchanged,,"Governance definition — terminology, not product behavior",,
C1-1.5-002,1,1.5,● Avoid using Must where Should is sufficient.,Constitution Authoring Guidance,Governance Documentation,Authoring guidance,NOT APPLICABLE,Info,,,,,Register category_bucket=Constitution Authoring Guidance verified unchanged,,Authoring guidance for constitution maintenance,,
C1-1.5-003,1,1.5,● Use Must only when a true obligation exists.,Constitution Authoring Guidance,Governance Documentation,Authoring guidance,NOT APPLICABLE,Info,,,,,Register category_bucket=Constitution Authoring Guidance verified unchanged,,Authoring guidance for constitution maintenance,,
C2-2.1-001,2,2.1,DX OSE shall provide one consistent document lifecycle experience across all operational modules.,Product Enforceable Requirement,Multiple,Code / Runtime / UI,UNVERIFIED / BLOCKED,Medium,OSE-Frontend/src/app/core/utils/constitution-lifecycle.util.ts:15-15 [constitutionUserFacingStateLabel] sha256=941FCAC9A336A56D… — Required symbol `constitutionUserFacingStateLabel` present; ,OSE-backend/src/platform/lifecyclePresentation.service.js:86-86 [mapUserFacingState] sha256=59C396F9812F21C0… — Required symbol `mapUserFacingState` present; ,,,,,Static code evidence only; runtime not executed for this requirement,,
C2-2.1-002,2,2.1,Principle: The user experience is the contract.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
C2-2.1-003,2,2.1,The implementation is an internal concern.,Descriptive Context,N/A,Documentation,NOT APPLICABLE,Info,,,,,Register category_bucket=Descriptive Context verified unchanged,,Descriptive/context row — no product enforcement required,,
