Module,Method,Route,requirePermission,Permission key,Scope resolver called,Empty assignment enforced,Service ownership check,Runtime test,Classification,Final status
"Breakage","POST","/:id/submit","yes","MANAGE_INVENTORY","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Breakage","POST","/:id/approve-dept","yes","MANAGE_INVENTORY","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Breakage","POST","/:id/approve-cost","yes","MANAGE_INVENTORY","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Breakage","POST","/:id/approve-finance","yes","MANAGE_INVENTORY","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Breakage","POST","/:id/approve-gm","yes","APPROVE_BREAKAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Breakage","POST","/:id/approve","yes","APPROVE_BREAKAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Breakage","POST","/:id/reject","yes","APPROVE_BREAKAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Breakage","POST","/:id/void","yes","APPROVE_BREAKAGE","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Breakage","POST","/:id/attachment","yes","MANAGE_INVENTORY","yes","yes","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"Dashboard","GET","/summary","yes","DASHBOARD_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Dashboard","GET","/charts","yes","DASHBOARD_VIEW","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"Departments","PATCH","/:id/toggle","yes","BASIC_DATA_EDIT","unknown","unknown","unknown","partial","Permission-only","Permission-only"
"GetPass","POST","/","yes","GET_PASS_CREATE","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","GET","/","yes","GET_PASS_CREATE","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","GET","/incoming","yes","GET_PASS_CREATE","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","GET","/returns","yes","GET_PASS_CREATE","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","PUT","/:id","yes","GET_PASS_CREATE","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","DELETE","/:id","yes","GET_PASS_CREATE","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","GET","/:id/pdf","yes","GET_PASS_CREATE","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","POST","/:id/submit","yes","GET_PASS_VIEW","yes","no","yes","partial","Empty assignment bypass possible","Runtime confirmed defect"
"GetPass","POST","/:id/approve","yes","GET_PASS_CREATE","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","POST","/:id/reject","yes","GET_PASS_CREATE","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","POST","/:id/accept-into-department","yes","GET_PASS_CONFIRM_DESTINATION","yes","no","yes","partial","Assignment enforced","Assignment enforced (service scope)"
"GetPass","POST","/:id/ship-back","no","","yes","no","yes","partial","Permission-only","Permission-only or controller gate"
