surface,applicable,component_path,data_field,display_helper,test_method,test_result,raw_enum_exposed,notes
List status badge,Yes,lost-items-list/lost-items-list.component.html,userFacingState + status,lostRowStatusLabel() via statusLabel(),API GC-LI-002 + template grep,Passed,No,Shows Posted for APPROVED samples
Detail header badge,Yes,lost-items-detail/lost-items-detail.component.html,userFacingState + status,lostRowStatusLabel() via statusLabel(),API GC-LI-001 + template grep,Passed,No,
Timeline/history,Yes,lost-items-detail + ReturnsWorkflowTimelineComponent,approval step status keys,workflowApprovalTimeline + WORKFLOW_STAGES i18n,Code review shared component,Passed,No,Shows stage labels not LOST_ITEMS.STATUS.*
Workflow filter tabs,Yes,lost-items-list/lost-items-list.component.html,N/A (tab bucket keys),lostWorkflowListTabLabelKey() → LOST_ITEMS.LIST.TAB_*,Template grep,Passed,No,Filters use API status param internally; labels are tab i18n
Print/PDF export,Not Applicable,lost-items-detail downloadEvidencePdf(),N/A,N/A,Code review,Not Applicable,N/A,Evidence PDF attachment; no row status string rendered in UI export path
Notifications,Not Applicable,N/A,N/A,N/A,Module grep,Not Applicable,N/A,No Lost Items user notification surface with status text in lost-items feature
Known mapped APPROVED→Posted,Yes,API,/lost/{id},userFacingState,GC-LI-001 runtime,Passed,No,userFacingState=Posted
Pending/in-review DRAFT,Yes,API,movementDocument LOST DRAFT,userFacingState,DB probe,Blocked,No,No DRAFT lost document in test tenant at verification time
Pending DEPT_APPROVED,Yes,API,userFacingState,GC-LI-001,Blocked,No,No DEPT_APPROVED sample in tenant
Rejected,Yes,API,userFacingState,GC-LI-001,Blocked,No,No REJECTED sample in tenant
Unknown synthetic status,Yes,lost-items-status-display.util.ts,userFacingState null + status enum,lostRowStatusLabel → COMMON.UNKNOWN,Static analysis GC-LI-003,Passed,No,console.warn only; never renders raw key
