"fresh_id","pdf_page","pdf_page_start","pdf_page_end","part","chapter_num","chapter_title","section","source_span_id","exact_pdf_source_text","source_context_text","normalized_atomic_clause","strength_classification","category_bucket","atomicity_status","atomicity_justification","semantic_review_status","semantic_review_reason","semantic_reviewer","product_gap_applicability","implementation_target","applies_to","related_sections","verification_type","extraction_note"
"C1-1.1-001","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","SP-C1-1.1-db87c3c8","This Constitution establishes the governing principles, policies, standards, and mandatory rules for the DX OSE Enterprise ERP Platform.","","This Constitution establishes the governing principles, policies, standards, and mandatory rules for the DX OSE Enterprise ERP Platform.","Descriptive","Descriptive Context","atomic","","Governance Approved","Ch1 descriptive context.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.1-002","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","SP-C1-1.1-39858354","It defines what the platform must do from a governance perspective.","","It defines what the platform must do from a governance perspective.","Explicit Must","Governance Document Requirement","atomic","","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Governance documentation",""
"C1-1.1-003","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","SP-C1-1.1-f3b3cf3b","It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","","It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","Explicit Shall","Governance Document Requirement","atomic","","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Governance documentation",""
"C1-1.1-004","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","SP-C1-1.1-49b07183","This Constitution is the Single Source of Truth (SSOT) for governance across the DX OSE ERP Platform.","","This Constitution is the Single Source of Truth (SSOT) for governance across the DX OSE ERP Platform.","Descriptive","Descriptive Context","atomic","","Governance Approved","Ch1 descriptive context.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.1-005","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.1","SP-C1-1.1-7f0d1a6b","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","Explicit Shall","Governance Document Requirement","atomic","","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Governance documentation",""
"C1-1.2-001","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-20115c82","When documents conflict, the higher-level document shall always prevail.","","When documents conflict, the higher-level document shall always prevail.","Explicit Shall","Governance Document Requirement","atomic","","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Governance documentation",""
"C1-1.2-002","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-497d619e","No subordinate document may override or contradict this Constitution.","","No subordinate document may override or contradict this Constitution.","Explicit Must","Governance Document Requirement","atomic","","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Governance documentation",""
"C1-1.2-003","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-5405b448","The official governance library shall maintain, at minimum:","","The official governance library shall maintain, at minimum:","Explicit Shall","Governance Document Requirement","atomic","","Governance Approved","Ch1 hierarchy/library rule — governance document requirement, not product code gap.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Governance documentation",""
"C1-1.2-004","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-73244d1d","● DX OSE Constitution","","● DX OSE Constitution","Governance Definition","Governance Definition","atomic","","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.2-005","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-370634f3","● DX OSE UX Constitution","","● DX OSE UX Constitution","Governance Definition","Governance Definition","atomic","","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
"C1-1.2-006","11","11","11","Part 0 — Authority","1","Authority & Hierarchy","1.2","SP-C1-1.2-9d3f2d3f","● Business Decision Records (BDR)","","● Business Decision Records (BDR)","Governance Definition","Governance Definition","atomic","","Governance Approved","Ch1 governance definition.","DX OSE Governance Review (Gate A.3)","No","Governance Documentation","Platform","","Documentation",""
