Module,Method,Route,Permission key,Scope resolver,Service enforced,evidenceType,finalClassification,staticOnlyMutation,sensitiveReadProbed
"Breakage","POST","/:id/submit","MANAGE_INVENTORY","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Breakage","POST","/:id/approve-dept","MANAGE_INVENTORY","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Breakage","POST","/:id/approve-cost","MANAGE_INVENTORY","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Breakage","POST","/:id/approve-finance","MANAGE_INVENTORY","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Breakage","POST","/:id/approve-gm","APPROVE_BREAKAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Breakage","POST","/:id/approve","APPROVE_BREAKAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Breakage","POST","/:id/reject","APPROVE_BREAKAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Breakage","POST","/:id/void","APPROVE_BREAKAGE","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Breakage","POST","/:id/attachment","MANAGE_INVENTORY","yes","yes","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"Dashboard","GET","/summary","DASHBOARD_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Dashboard","GET","/charts","DASHBOARD_VIEW","unknown","unknown","STATIC_ONLY","Permission-only","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"Departments","PATCH","/:id/toggle","BASIC_DATA_EDIT","unknown","unknown","STATIC_ONLY","Permission-only","true","n/a"
"GetPass","POST","/","GET_PASS_CREATE","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","n/a"
"GetPass","GET","/","GET_PASS_CREATE","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
"GetPass","GET","/incoming","GET_PASS_CREATE","yes","no","SERVICE_RUNTIME","Assignment enforced (service scope)","false","see WORKFLOW_PIPELINE_ASSIGNMENT_SCOPE_MATRIX"
