Module,Screen,Route,Action,Nav_Permission,Route_Guard_TARGET,API_Method,API_Permission_or_Roles_TARGET,Data_Scope,FINANCE,ORG_MANAGER,ADMIN_Legacy,Gap_CURRENT
Transfers,List,/transfers,View,TRANSFER_VIEW,TRANSFER_VIEW or INVENTORY_VIEW,GET /transfers,INVENTORY_VIEW,Tenant-wide,Y,A,L,No route guard today
Transfers,Create,/transfers/new,Create,TRANSFER_VIEW,TRANSFER_CREATE,POST /transfers,TRANSFER_CREATE,Tenant-wide,Y,A,L,No route guard
Transfers,Detail,/transfers/:id,View Approve Reject,TRANSFER_VIEW,TRANSFER_VIEW,GET POST approve,INVENTORY_VIEW TRANSFER_APPROVE,Tenant-wide,Y,A,L,No ADMIN in chain TARGET
GRN,List,/grn,View,GRN_VIEW,GRN_VIEW,GET /grn,GRN_VIEW,Tenant-wide,Y,A,L,
GRN,Create,/inventory/grn/new,Create,GRN_VIEW,GRN_MANAGE,POST /grn,GRN_MANAGE,Tenant-wide,Y,A,L,
GRN,Detail Post,/grn/:id,Post,N/A,N/A,POST /grn/:id/post,FINANCE_MANAGER,Tenant-wide,Y,A,L,CURRENT includes ADMIN
Breakage,List,/breakage,View,BREAKAGE_VIEW any,permissionsAny,GET /breakage,VIEW_INVENTORY BREAKAGE_VIEW READ_BREAKAGE,Finance tenant-wide Dept creator-scoped,Y,A,L,createdById not in API
Breakage,Create,/breakage/new,Create,BREAKAGE_VIEW,BREAKAGE_CREATE,POST /breakage,BREAKAGE_CREATE,Mixed,Y,A,L,
Breakage,Detail Approve,/breakage/:id,Approve,APPROVE_BREAKAGE,APPROVE_BREAKAGE,POST approve-*,APPROVE_BREAKAGE,Tenant-wide,Y,A,L,ADMIN bypass in service
Lost Items,List,/lost-items,View,LOST_ITEMS_VIEW any,permissionsAny,GET /lost-items,LOST_ITEMS_VIEW READ_LOST,Tenant-wide,Y,A,L,Same as breakage
Lost Items,Create,/lost-items/new,Create,LOST_ITEMS_VIEW,BREAKAGE_CREATE,POST /lost-items,BREAKAGE_CREATE,Mixed,Y,A,L,
Lost Items,Detail,/lost-items/:id,Approve,APPROVE_LOST,APPROVE_LOST,POST approve-*,APPROVE_LOST,Tenant-wide,Y,A,L,
Inventory Count,List,/inventory-count,View,STOCK_COUNT_VIEW,STOCK_COUNT_VIEW,GET /inventory-count/sessions,COUNT_VIEW roles,Tenant-wide,Y,A,L,FINANCE view only CURRENT
Inventory Count,Manage,/inventory-count/:id,Create Start Count,STOCK_COUNT_VIEW,STOCK_COUNT_MANAGE,POST PUT sessions,COUNT_MANAGE roles,Tenant-wide,Y,A,L,FINANCE not in COUNT_MANAGE CURRENT
Inventory Count,Approve,/inventory-count/:id,Approve Reject,STOCK_COUNT_VIEW,N/A,POST approve reject,FINANCE_MANAGER,Tenant-wide,Y,A,L,CURRENT ADMIN FINANCE
