fresh_id,status,method,reason,probes
C1-1.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C1-1.1-002,PASS,evidence_based_probes,,governance-docs-exist
C1-1.1-003,PASS,evidence_based_probes,,governance-docs-exist
C1-1.1-004,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C1-1.1-005,PASS,evidence_based_probes,,governance-docs-exist
C1-1.2-001,PASS,evidence_based_probes,,governance-docs-exist
C1-1.2-002,PASS,evidence_based_probes,,governance-docs-exist
C1-1.2-003,PASS,evidence_based_probes,,governance-docs-exist
C1-1.2-004,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.2-005,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.2-006,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.2-007,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.2-008,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.2-009,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.2-010,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.3-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C1-1.3-002,PASS,evidence_based_probes,,governance-docs-exist
C1-1.4-001,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.4-002,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.4-003,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.4-004,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.4-005,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C1-1.4-006,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C1-1.4-007,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C1-1.4-008,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C1-1.4-009,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.5-001,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C1-1.5-002,NOT APPLICABLE,category_verification,Authoring guidance for constitution maintenance,
C1-1.5-003,NOT APPLICABLE,category_verification,Authoring guidance for constitution maintenance,
C2-2.1-001,UNVERIFIED / BLOCKED,evidence_based_probes,,lifecycle-presentation|lifecycle-mapper-fe
C2-2.1-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.1-003,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.1-004,NOT APPLICABLE,category_verification,Optional capability — not mandatory for compliance,
C2-2.1-005,FAIL,evidence_based_probes,,lost-items-raw-status
C2-2.2-001,UNVERIFIED / BLOCKED,evidence_based_probes,,lifecycle-presentation|lifecycle-mapper-fe
C2-2.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-these
C2-2.2-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-introduce
C2-2.2-004,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C2-2.2-005,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.2-006,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.2-007,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.2-008,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C2-2.2-009,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.2-010,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.2-011,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.2-012,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.2-013,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.2-014,NOT APPLICABLE,category_verification,Excluded pending ratification,
C2-2.3-001,UNVERIFIED / BLOCKED,evidence_based_probes,,lifecycle-presentation|lifecycle-mapper-fe
C2-2.3-002,FAIL,evidence_based_probes,,lost-items-raw-status
C2-2.3-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-identical
C2-2.4.1-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.4.1-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-operational
C2-2.4.2-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.4.2-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-operational
C2-2.4.3-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.4.3-002,NOT APPLICABLE,category_verification,Optional capability — not mandatory for compliance,
C2-2.4.4-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.4.4-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.4.4-003,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.4.5-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.4.5-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.5-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-governed
C2-2.6-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.6-002,UNVERIFIED / BLOCKED,evidence_based_probes,,draft-governance
C2-2.6-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-business
C2-2.6-004,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.6-005,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-enters
C2-2.7-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.7-002,UNVERIFIED / BLOCKED,evidence_based_probes,,no-resubmit-route|no-resubmit-service
C2-2.7-003,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.7-004,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-after
C2-2.7-005,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.8-001,PASS,evidence_based_probes,,timeline-service
C2-2.9-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.9-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.9-003,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C2-2.10-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C3-3.1-001,FAIL,evidence_based_probes,,keyword-users
C3-3.1-002,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-action
C3-3.1-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-invent
C3-3.2-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C3-3.2-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C3-3.2-003,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-alternative
C3-3.3-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C3-3.3-002,FAIL,evidence_based_probes,,acc-guard|authorize
C3-3.4-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C3-3.4-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C3-3.4-003,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C3-3.4-004,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C3-3.4-005,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C3-3.5-001,UNVERIFIED / BLOCKED,evidence_based_probes,,keyword-there
C3-3.6-001,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C3-3.7-001,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C3-3.7-002,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C3-3.8-001,NOT APPLICABLE,category_verification,Constitution marks out of scope for product layer,
C4-4.1-001,UNVERIFIED / BLOCKED,evidence_based_probes,,acc-guard|authorize
C4-4.1-002,NOT APPLICABLE,category_verification,Descriptive/context row — no product enforcement required,
C4-4.2-001,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-002,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-003,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-004,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-005,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-006,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-007,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-008,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-009,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-010,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-011,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-012,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-013,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-014,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-015,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-016,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
C4-4.2-017,NOT APPLICABLE,category_verification,"Governance definition — terminology, not product behavior",
