"fresh_id","chapter","section","requirement_text","category","implementation_target","verification_type","status","severity","frontend_evidence","backend_evidence","database_evidence","runtime_evidence","governance_evidence","tenant_scope_tested","limitations","finding_id","recommended_next_action"
"C1-1.1-001","1","1.1","This Constitution establishes the governing principles, policies, standards, and mandatory rules for the DX OSE Enterprise ERP Platform.","Descriptive Context","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C1-1.1-002","1","1.1","It defines what the platform must do from a governance perspective.","Governance Document Requirement","Governance Documentation","Governance documentation","PASS","Info","","N/A — Ch1 governs constitution document hierarchy, not product runtime.","","","docs/governance/DX_OSE_CONSTITUTION_v2.0_FINAL.pdf (external); Gate A register Ch1 rows. docs/governance/ library present.","None — static audit pass","Governance document existence verified; subordinate doc conformance not re-certified here.","","None"
"C1-1.1-003","1","1.1","It is technology-neutral and shall remain valid regardless of changes to frontend, backend, database, or integration technologies.","Governance Document Requirement","Governance Documentation","Governance documentation","PASS","Info","","N/A — Ch1 governs constitution document hierarchy, not product runtime.","","","docs/governance/DX_OSE_CONSTITUTION_v2.0_FINAL.pdf (external); Gate A register Ch1 rows. docs/governance/ library present.","None — static audit pass","Governance document existence verified; subordinate doc conformance not re-certified here.","","None"
"C1-1.1-004","1","1.1","This Constitution is the Single Source of Truth (SSOT) for governance across the DX OSE ERP Platform.","Descriptive Context","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","","None — static audit pass","Category 'Descriptive Context' — no product/runtime enforcement test required.","","None"
"C1-1.1-005","1","1.1","All subordinate governance, UX, workflow, access control, and implementation documents shall conform to this Constitution.","Governance Document Requirement","Governance Documentation","Governance documentation","PASS","Info","","N/A — Ch1 governs constitution document hierarchy, not product runtime.","","","docs/governance/DX_OSE_CONSTITUTION_v2.0_FINAL.pdf (external); Gate A register Ch1 rows. docs/governance/ library present.","None — static audit pass","Governance document existence verified; subordinate doc conformance not re-certified here.","","None"
"C1-1.2-001","1","1.2","When documents conflict, the higher-level document shall always prevail.","Governance Document Requirement","Governance Documentation","Governance documentation","PASS","Info","","N/A — Ch1 governs constitution document hierarchy, not product runtime.","","","docs/governance/DX_OSE_CONSTITUTION_v2.0_FINAL.pdf (external); Gate A register Ch1 rows. docs/governance/ library present.","None — static audit pass","Governance document existence verified; subordinate doc conformance not re-certified here.","","None"
"C1-1.2-002","1","1.2","No subordinate document may override or contradict this Constitution.","Governance Document Requirement","Governance Documentation","Governance documentation","PASS","Info","","N/A — Ch1 governs constitution document hierarchy, not product runtime.","","","docs/governance/DX_OSE_CONSTITUTION_v2.0_FINAL.pdf (external); Gate A register Ch1 rows. docs/governance/ library present.","None — static audit pass","Governance document existence verified; subordinate doc conformance not re-certified here.","","None"
"C1-1.2-003","1","1.2","The official governance library shall maintain, at minimum:","Governance Document Requirement","Governance Documentation","Governance documentation","PASS","Info","","N/A — Ch1 governs constitution document hierarchy, not product runtime.","","","docs/governance/DX_OSE_CONSTITUTION_v2.0_FINAL.pdf (external); Gate A register Ch1 rows. docs/governance/ library present.","None — static audit pass","Governance document existence verified; subordinate doc conformance not re-certified here.","","None"
"C1-1.2-004","1","1.2","● DX OSE Constitution","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.2-005","1","1.2","● DX OSE UX Constitution","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
"C1-1.2-006","1","1.2","● Business Decision Records (BDR)","Governance Definition","Governance Documentation","Documentation","NOT APPLICABLE","Info","","","","","Governance definition — canonical meaning captured in Gate A; not a product gap.","None — static audit pass","Definition row — verify consuming requirements separately.","","None"
